 0.0000000E+00  0.3175180+156  0.6893333+156  0.9957688+156  0.1258245+157  0.1531895+157  0.1864193+157  0.2289553+157  0.2830593+157  0.3494205+157  0.4256976+157  0.5036779+157  0.5657809+157  0.5855267+157  0.5433589+157  0.4578450+157  0.3547329+157  0.2515545+157  0.1579332+157  0.8025752+156  0.2541983+156
 0.2000000E+00  0.3172648+156  0.6889228+156  0.9953915+156  0.1258079+157  0.1532059+157  0.1864744+157  0.2290505+157  0.2831923+157  0.3495845+157  0.4258781+157  0.5038507+157  0.5659159+157  0.5856090+157  0.5434179+157  0.4578783+157  0.3547308+157  0.2515177+157  0.1578752+157  0.8020181+156  0.2539013+156
 0.4000000E+00  0.3164770+156  0.6876319+156  0.9941753+156  0.1257477+157  0.1532424+157  0.1866249+157  0.2293188+157  0.2835713+157  0.3500528+157  0.4263923+157  0.5043381+157  0.5662872+157  0.5858219+157  0.5435620+157  0.4579490+157  0.3547013+157  0.2513901+157  0.1576907+157  0.8002933+156  0.2529946+156
 0.6000000E+00  0.3151593+156  0.6854633+156  0.9921197+156  0.1256440+157  0.1532998+157  0.1868719+157  0.2297617+157  0.2841978+157  0.3508269+157  0.4272412+157  0.5051410+157  0.5668956+157  0.5861659+157  0.5437916+157  0.4580575+157  0.3546442+157  0.2511719+157  0.1573797+157  0.7974050+156  0.2514820+156
 0.8000000E+00  0.3133195+156  0.6824215+156  0.9892239+156  0.1254968+157  0.1533788+157  0.1872171+157  0.2303813+157  0.2850742+157  0.3519092+157  0.4284270+157  0.5062607+157  0.5677419+157  0.5866424+157  0.5441071+157  0.4582037+157  0.3545598+157  0.2508632+157  0.1569428+157  0.7933602+156  0.2493696+156
 0.1000000E+01  0.3109686+156  0.6785131+156  0.9854872+156  0.1253062+157  0.1534805+157  0.1876628+157  0.2311808+157  0.2862039+157  0.3533029+157  0.4299523+157  0.5076992+157  0.5688278+157  0.5872529+157  0.5445094+157  0.4583879+157  0.3544480+157  0.2504643+157  0.1563805+157  0.7881687+156  0.2466661+156
 0.1200000E+01  0.3081204+156  0.6737466+156  0.9809082+156  0.1250725+157  0.1536064+157  0.1882117+157  0.2321640+157  0.2875913+157  0.3550124+157  0.4318207+157  0.5094591+157  0.5701549+157  0.5879997+157  0.5449993+157  0.4586105+157  0.3543091+157  0.2499755+157  0.1556935+157  0.7818432+156  0.2433825+156
 0.1400000E+01  0.3047923+156  0.6681325+156  0.9754856+156  0.1247957+157  0.1537582+157  0.1888673+157  0.2333356+157  0.2892417+157  0.3570426+157  0.4340364+157  0.5115433+157  0.5717256+157  0.5888853+157  0.5455779+157  0.4588717+157  0.3541433+157  0.2493971+157  0.1548828+157  0.7743988+156  0.2395321+156
 0.1600000E+01  0.3010046+156  0.6616836+156  0.9692176+156  0.1244760+157  0.1539377+157  0.1896336+157  0.2347011+157  0.2911611+157  0.3593996+157  0.4366046+157  0.5139554+157  0.5735425+157  0.5899128+157  0.5462463+157  0.4591718+157  0.3539505+157  0.2487295+157  0.1539495+157  0.7658538+156  0.2351307+156
 0.1800000E+01  0.2967808+156  0.6544149+156  0.9621024+156  0.1241135+157  0.1541472+157  0.1905149+157  0.2362664+157  0.2933565+157  0.3620902+157  0.4395308+157  0.5166995+157  0.5756085+157  0.5910855+157  0.5470060+157  0.4595111+157  0.3537309+157  0.2479732+157  0.1528947+157  0.7562290+156  0.2301961+156
 0.2000000E+01  0.2921474+156  0.6463438+156  0.9541377+156  0.1237083+157  0.1543888+157  0.1915160+157  0.2380383+157  0.2958355+157  0.3651218+157  0.4428214+157  0.5197800+157  0.5779270+157  0.5924072+157  0.5478585+157  0.4598899+157  0.3534845+157  0.2471287+157  0.1517200+157  0.7455477+156  0.2247485+156
 0.2200000E+01  0.2871343+156  0.6374903+156  0.9453213+156  0.1232603+157  0.1546650+157  0.1926422+157  0.2400241+157  0.2986065+157  0.3685028+157  0.4464834+157  0.5232019+157  0.5805016+157  0.5938820+157  0.5488053+157  0.4603084+157  0.3532114+157  0.2461964+157  0.1504267+157  0.7338361+156  0.2188098+156
 0.2400000E+01  0.2817743+156  0.6278770+156  0.9356505+156  0.1227695+157  0.1549782+157  0.1938987+157  0.2422315+157  0.3016786+157  0.3722422+157  0.4505244+157  0.5269707+157  0.5833363+157  0.5955145+157  0.5498481+157  0.4607668+157  0.3529114+157  0.2451767+157  0.1490166+157  0.7211228+156  0.2124042+156
 0.2600000E+01  0.2761034+156  0.6175298+156  0.9251226+156  0.1222356+157  0.1553308+157  0.1952912+157  0.2446687+157  0.3050612+157  0.3763496+157  0.4549526+157  0.5310921+157  0.5864354+157  0.5973093+157  0.5509885+157  0.4612651+157  0.3525842+157  0.2440703+157  0.1474915+157  0.7074390+156  0.2055576+156
 0.2800000E+01  0.2701606+156  0.6064774+156  0.9137347+156  0.1216582+157  0.1557251+157  0.1968254+157  0.2473442+157  0.3087647+157  0.3808354+157  0.4597768+157  0.5355725+157  0.5898037+157  0.5992714+157  0.5522283+157  0.4618033+157  0.3522296+157  0.2428774+157  0.1458535+157  0.6928184+156  0.1982976+156
 0.3000000E+01  0.2639880+156  0.5947525+156  0.9014836+156  0.1210368+157  0.1561634+157  0.1985071+157  0.2502669+157  0.3127997+157  0.3857103+157  0.4650063+157  0.5404184+157  0.5934459+157  0.6014061+157  0.5535691+157  0.4623810+157  0.3518470+157  0.2415985+157  0.1441045+157  0.6772970+156  0.1906533+156
 0.3200000E+01  0.2576306+156  0.5823913+156  0.8883662+156  0.1203705+157  0.1566475+157  0.2003421+157  0.2534457+157  0.3171774+157  0.3909860+157  0.4706509+157  0.5456368+157  0.5973672+157  0.6037189+157  0.5550127+157  0.4629978+157  0.3514357+157  0.2402339+157  0.1422469+157  0.6609133+156  0.1826556+156
 0.3400000E+01  0.2511362+156  0.5694343+156  0.8743793+156  0.1196583+157  0.1571794+157  0.2023358+157  0.2568898+157  0.3219091+157  0.3966744+157  0.4767210+157  0.5512353+157  0.6015731+157  0.6062152+157  0.5565606+157  0.4636531+157  0.3509948+157  0.2387839+157  0.1402830+157  0.6437080+156  0.1743363+156
 0.3600000E+01  0.2445554+156  0.5559269+156  0.8595196+156  0.1188989+157  0.1577603+157  0.2044937+157  0.2606085+157  0.3270070+157  0.4027880+157  0.4832275+157  0.5572214+157  0.6060693+157  0.6089007+157  0.5582143+157  0.4643459+157  0.3505231+157  0.2372487+157  0.1382153+157  0.6257242+156  0.1657289+156
 0.3800000E+01  0.2379413+156  0.5419196+156  0.8437840+156  0.1180905+157  0.1583912+157  0.2068209+157  0.2646111+157  0.3324832+157  0.4093399+157  0.4901816+157  0.5636034+157  0.6108617+157  0.6117813+157  0.5599752+157  0.4650750+157  0.3500192+157  0.2356284+157  0.1360465+157  0.6070070+156  0.1568676+156
 0.4000000E+01  0.2313490+156  0.5274687+156  0.8271696+156  0.1172310+157  0.1590726+157  0.2093223+157  0.2689068+157  0.3383502+157  0.4163436+157  0.4975952+157  0.5703896+157  0.6159566+157  0.6148626+157  0.5618444+157  0.4658388+157  0.3494813+157  0.2339230+157  0.1337793+157  0.5876040+156  0.1477877+156
 0.4200000E+01  0.2248353+156  0.5126374+156  0.8096737+156  0.1163179+157  0.1598044+157  0.2120021+157  0.2735049+157  0.3446212+157  0.4238134+157  0.5054807+157  0.5775891+157  0.6213604+157  0.6181506+157  0.5638229+157  0.4666356+157  0.3489076+157  0.2321324+157  0.1314167+157  0.5675648+156  0.1385253+156
 0.4400000E+01  0.2184582+156  0.4974959+156  0.7912942+156  0.1153483+157  0.1605859+157  0.2148643+157  0.2784146+157  0.3513092+157  0.4317638+157  0.5138510+157  0.5852109+157  0.6270797+157  0.6216510+157  0.5659117+157  0.4674630+157  0.3482956+157  0.2302563+157  0.1289616+157  0.5469409+156  0.1291172+156
 0.4600000E+01  0.2122758+156  0.4821229+156  0.7720298+156  0.1143187+157  0.1614158+157  0.2179124+157  0.2836451+157  0.3584280+157  0.4402100+157  0.5227196+157  0.5932648+157  0.6331214+157  0.6253695+157  0.5681111+157  0.4683184+157  0.3476427+157  0.2282945+157  0.1264171+157  0.5257863+156  0.1196006+156
 0.4800000E+01  0.2063458+156  0.4666064+156  0.7518801+156  0.1132251+157  0.1622918+157  0.2211492+157  0.2892053+157  0.3659916+157  0.4491681+157  0.5321004+157  0.6017608+157  0.6394929+157  0.6293118+157  0.5704216+157  0.4691989+157  0.3469459+157  0.2262463+157  0.1237867+157  0.5041570+156  0.1100135+156
 0.5000000E+01  0.2007237+156  0.4510448+156  0.7308461+156  0.1120627+157  0.1632111+157  0.2245771+157  0.2951043+157  0.3740143+157  0.4586543+157  0.5420082+157  0.6107095+157  0.6462014+157  0.6334834+157  0.5728430+157  0.4701008+157  0.3462017+157  0.2241114+157  0.1210737+157  0.4821114+156  0.1003942+156
 0.5200000E+01  0.1954618+156  0.4355483+156  0.7089308+156  0.1108265+157  0.1641701+157  0.2281979+157  0.3013511+157  0.3825111+157  0.4686862+157  0.5524583+157  0.6201220+157  0.6532547+157  0.6378897+157  0.5753751+157  0.4710202+157  0.3454064+157  0.2218888+157  0.1182817+157  0.4597100+156  0.9078172+155
 0.5400000E+01  0.1906072+156  0.4202397+156  0.6861396+156  0.1095103+157  0.1651640+157  0.2320128+157  0.3079547+157  0.3914974+157  0.4792816+157  0.5634669+157  0.6300097+157  0.6606608+157  0.6425359+157  0.5780172+157  0.4719529+157  0.3445559+157  0.2195778+157  0.1154145+157  0.4370162+156  0.8121559+155
 0.5600000E+01  0.1862002+156  0.4052558+156  0.6624814+156  0.1081077+157  0.1661875+157  0.2360224+157  0.3149241+157  0.4009894+157  0.4904595+157  0.5750509+157  0.6403849+157  0.6684280+157  0.6474270+157  0.5807683+157  0.4728937+157  0.3436455+157  0.2171775+157  0.1124760+157  0.4140959+156  0.7173668+155
 0.5800000E+01  0.1822724+156  0.3907483+156  0.6379695+156  0.1066112+157  0.1672342+157  0.2402270+157  0.3222687+157  0.4110038+157  0.5022399+157  0.5872283+157  0.6512605+157  0.6765650+157  0.6525680+157  0.5836270+157  0.4738375+157  0.3426704+157  0.2146867+157  0.1094704+157  0.3910186+156  0.6238796+155
 0.6000000E+01  0.1788449+156  0.3768838+156  0.6126238+156  0.1050126+157  0.1682970+157  0.2446263+157  0.3299977+157  0.4215583+157  0.5146438+157  0.6000178+157  0.6626499+157  0.6850809+157  0.6579634+157  0.5865916+157  0.4747782+157  0.3416253+157  0.2121043+157  0.1064021+157  0.3678575+156  0.5321655+155
 0.6200000E+01  0.1759269+156  0.3638430+156  0.5864719+156  0.1033030+157  0.1693676+157  0.2492194+157  0.3381209+157  0.4326714+157  0.5276935+157  0.6134395+157  0.6745677+157  0.6939850+157  0.6636177+157  0.5896599+157  0.4757095+157  0.3405045+157  0.2094293+157  0.1032756+157  0.3446904+156  0.4427799+155
 0.6400000E+01  0.1735145+156  0.3518192+156  0.5595531+156  0.1014725+157  0.1704374+157  0.2540053+157  0.3466486+157  0.4443628+157  0.5414124+157  0.6275144+157  0.6870289+157  0.7032872+157  0.6695350+157  0.5928293+157  0.4766246+157  0.3393019+157  0.2066602+157  0.1000958+157  0.3216012+156  0.3564636+155
 0.6600000E+01  0.1715907+156  0.3410140+156  0.5319220+156  0.9951067+156  0.1714964+157  0.2589826+157  0.3555912+157  0.4566532+157  0.5558256+157  0.6422650+157  0.7000498+157  0.7129979+157  0.6757195+157  0.5960969+157  0.4775160+157  0.3380112+157  0.2037960+157  0.9686809+156  0.2986815+156  0.2744081+155
